word1	len	pos1	priorpolarity	rel	stemmed1
abandoned	1	adj	negative	weaksubj	n
abandonment	1	noun	negative	weaksubj	n
abandon	1	verb	negative	weaksubj	y
abase	1	verb	negative	strongsubj	y
abasement	1	anypos	negative	strongsubj	y
abash	1	verb	negative	strongsubj	y
abate	1	verb	negative	weaksubj	y
abdicate	1	verb	negative	weaksubj	y
aberration	1	adj	negative	strongsubj	n
aberration	1	noun	negative	strongsubj	n
abhor	1	anypos	negative	strongsubj	y
abhor	1	verb	negative	strongsubj	y
abhorred	1	adj	negative	strongsubj	n
abhorrence	1	noun	negative	strongsubj	n
abhorrent	1	adj	negative	strongsubj	n
abhorrently	1	anypos	negative	strongsubj	n
abhors	1	adj	negative	strongsubj	n
abhors	1	noun	negative	strongsubj	n
abidance	1	adj	positive	strongsubj	n
abidance	1	noun	positive	strongsubj	n
abide	1	anypos	positive	strongsubj	y
abject	1	adj	negative	strongsubj	n
abjectly	1	adverb	negative	strongsubj	n
abjure	1	verb	negative	weaksubj	y
abilities	1	noun	positive	weaksubj	n
ability	1	noun	positive	weaksubj	n
able	1	adj	positive	weaksubj	n
abnormal	1	adj	negative	weaksubj	n
abolish	1	verb	negative	weaksubj	y
abominable	1	adj	negative	strongsubj	n
abominably	1	anypos	negative	strongsubj	n
abominate	1	verb	negative	strongsubj	y
abomination	1	noun	negative	strongsubj	n
above	1	anypos	positive	weaksubj	n
above-average	1	adj	positive	weaksubj	n
abound	1	verb	positive	weaksubj	y
abrade	1	verb	negative	weaksubj	y
abrasive	1	adj	negative	strongsubj	n
abrupt	1	adj	negative	weaksubj	n
abscond	1	verb	negative	strongsubj	y
absence	1	noun	negative	weaksubj	n
absentee	1	anypos	negative	weaksubj	y
absent-minded	1	adj	negative	strongsubj	n
absolve	1	verb	positive	strongsubj	y
absolute	1	adj	neutral	strongsubj	n
absolutely	1	adj	neutral	strongsubj	n
absorbed	1	verb	neutral	weaksubj	n
absurd	1	adj	negative	strongsubj	n
absurdity	1	noun	negative	strongsubj	n
absurdly	1	anypos	negative	strongsubj	n
absurdness	1	noun	negative	strongsubj	n
abundant	1	adj	positive	weaksubj	n
abundance	1	noun	positive	weaksubj	n
abuse	1	adj	negative	weaksubj	n
abuse	1	noun	negative	weaksubj	n
abuse	1	verb	negative	strongsubj	y
abuses	1	adj	negative	weaksubj	n
abuses	1	noun	negative	weaksubj	n
abusive	1	adj	negative	strongsubj	n
abysmal	1	adj	negative	strongsubj	n
abysmally	1	anypos	negative	strongsubj	n
abyss	1	noun	negative	strongsubj	n
accede	1	verb	positive	strongsubj	y
accentuate	1	verb	neutral	strongsubj	y
accept	1	verb	positive	weaksubj	y
acceptance	1	noun	positive	weaksubj	n
acceptable	1	adj	positive	weaksubj	n
accessible	1	adj	positive	weaksubj	n
accidental	1	adj	negative	weaksubj	n
acclaim	1	noun	positive	strongsubj	n
acclaim	1	verb	positive	strongsubj	y
acclaimed	1	adj	positive	strongsubj	n
acclamation	1	anypos	positive	strongsubj	y
accolade	1	noun	positive	strongsubj	n
accolades	1	noun	positive	strongsubj	n
accommodative	1	adj	positive	weaksubj	n
accomplish	1	verb	positive	weaksubj	y
accomplishment	1	noun	positive	weaksubj	n
accomplishments	1	noun	positive	weaksubj	n
accord	1	verb	positive	weaksubj	y
accordance	1	noun	positive	weaksubj	n
accordantly	1	adverb	positive	weaksubj	n
accost	1	verb	negative	weaksubj	y
accountable	1	adj	negative	weaksubj	n
accurate	1	adj	positive	weaksubj	n
accurately	1	adj	positive	weaksubj	n
accursed	1	adj	negative	strongsubj	n
accusation	1	adj	negative	strongsubj	n
accusation	1	noun	negative	strongsubj	n
accusations	1	adj	negative	strongsubj	n
accusations	1	noun	negative	strongsubj	n
accuse	1	verb	negative	strongsubj	y
accuses	1	verb	negative	strongsubj	n
accusing	1	anypos	negative	strongsubj	n
accusingly	1	anypos	negative	strongsubj	n
acerbate	1	verb	negative	strongsubj	y
acerbic	1	adj	negative	strongsubj	n
acerbically	1	adverb	negative	strongsubj	n
ache	1	verb	negative	strongsubj	y
achievable	1	adj	positive	weaksubj	n
achieve	1	verb	positive	weaksubj	y
achievement	1	anypos	positive	weaksubj	n
achievements	1	anypos	positive	weaksubj	n
acknowledge	1	verb	positive	weaksubj	y
acknowledgement	1	noun	positive	weaksubj	n
acquit	1	verb	positive	weaksubj	y
acrid	1	adj	negative	strongsubj	n
acridly	1	anypos	negative	strongsubj	n
acridness	1	noun	negative	strongsubj	n
acrimonious	1	adj	negative	strongsubj	n
acrimoniously	1	anypos	negative	strongsubj	n
acrimony	1	noun	negative	strongsubj	n
active	1	adj	positive	weaksubj	n
activist	1	adj	neutral	strongsubj	n
activist	1	noun	neutral	strongsubj	n
actual	1	anypos	neutral	strongsubj	n
actuality	1	anypos	neutral	strongsubj	n
actually	1	anypos	neutral	strongsubj	n
acumen	1	noun	positive	strongsubj	n
adamant	1	adj	negative	strongsubj	n
adamantly	1	anypos	negative	strongsubj	n
adaptable	1	adj	positive	weaksubj	n
adaptability	1	noun	positive	weaksubj	n
adaptive	1	adj	positive	weaksubj	n
addict	1	noun	negative	weaksubj	n
addiction	1	noun	negative	weaksubj	n
adept	1	adj	positive	weaksubj	n
adeptly	1	adverb	positive	weaksubj	n
adequate	1	adj	positive	weaksubj	n
adherence	1	noun	positive	weaksubj	n
adherent	1	adj	positive	weaksubj	n
adhesion	1	noun	positive	weaksubj	n
admirable	1	adj	positive	strongsubj	n
admirer	1	noun	positive	strongsubj	n
admirable	1	anypos	positive	strongsubj	n
admirably	1	anypos	positive	strongsubj	n
admiration	1	noun	positive	strongsubj	n
admire	1	verb	positive	strongsubj	y
admiring	1	adj	positive	strongsubj	n
admiringly	1	adj	positive	strongsubj	n
admission	1	adj	positive	weaksubj	n
admission	1	noun	positive	weaksubj	n
admit	1	verb	positive	strongsubj	y
admittedly	1	anypos	positive	strongsubj	y
admonish	1	verb	negative	strongsubj	y
admonisher	1	anypos	negative	strongsubj	y
admonishingly	1	anypos	negative	strongsubj	y
admonishment	1	anypos	negative	strongsubj	y
admonition	1	noun	negative	strongsubj	n
adolescents	1	adj	neutral	strongsubj	n
adolescents	1	noun	neutral	strongsubj	n
adorable	1	adj	positive	strongsubj	n
adore	1	verb	positive	strongsubj	y
adored	1	adj	positive	strongsubj	n
adorer	1	anypos	positive	strongsubj	y
adorer	1	noun	positive	strongsubj	n
adoring	1	adj	positive	strongsubj	n
adoringly	1	anypos	positive	strongsubj	n
adrift	1	anypos	negative	weaksubj	n
adroit	1	adj	positive	strongsubj	n
adroitly	1	adj	positive	strongsubj	n
adulate	1	verb	positive	strongsubj	y
adulation	1	anypos	positive	strongsubj	y
adulatory	1	adj	positive	strongsubj	n
adulterate	1	verb	negative	strongsubj	y
adulterated	1	anypos	negative	strongsubj	n
adulteration	1	noun	negative	strongsubj	n
advanced	1	adj	positive	weaksubj	n
advantage	1	adj	positive	weaksubj	n
advantage	1	noun	positive	weaksubj	n
advantageous	1	adj	positive	strongsubj	n
advantages	1	adj	positive	weaksubj	n
advantages	1	noun	positive	weaksubj	n
adventure	1	adj	positive	weaksubj	n
adventure	1	noun	positive	weaksubj	n
adventuresome	1	noun	positive	strongsubj	n
adventurism	1	noun	positive	strongsubj	n
adventurous	1	adj	positive	weaksubj	n
adversarial	1	adj	negative	weaksubj	n
adversary	1	noun	negative	weaksubj	y
adverse	1	adj	negative	weaksubj	n
adversity	1	noun	negative	strongsubj	n
advice	1	adj	positive	weaksubj	n
advice	1	noun	positive	weaksubj	n
advisable	1	noun	positive	weaksubj	n
advocate	1	verb	positive	strongsubj	y
advocacy	1	noun	positive	strongsubj	n
affable	1	adj	positive	strongsubj	n
affability	1	noun	positive	weaksubj	n
affably	1	adverb	positive	weaksubj	n
affect	1	verb	neutral	weaksubj	y
affectation	1	noun	negative	weaksubj	n
affected	1	adj	neutral	strongsubj	n
affection	1	adj	positive	strongsubj	n
affection	1	noun	positive	strongsubj	n
affectionate	1	adj	positive	strongsubj	n
affinity	1	noun	positive	weaksubj	n
affirm	1	verb	positive	strongsubj	y
affirmation	1	adj	positive	strongsubj	n
affirmation	1	noun	positive	strongsubj	n
affirmative	1	noun	positive	weaksubj	n
afflict	1	verb	negative	weaksubj	y
affliction	1	noun	negative	weaksubj	n
afflictive	1	adj	negative	strongsubj	n
affluent	1	adj	positive	weaksubj	n
affluence	1	noun	positive	weaksubj	n
afford	1	verb	positive	weaksubj	y
affordable	1	adj	positive	weaksubj	n
affront	1	noun	negative	strongsubj	n
affront	1	verb	negative	strongsubj	y
afloat	1	adj	positive	weaksubj	n
afraid	1	adj	negative	strongsubj	n
against	1	anypos	negative	weaksubj	n
aggravate	1	verb	negative	strongsubj	y
aggravating	1	adj	negative	strongsubj	n
aggravation	1	noun	negative	strongsubj	n
aggression	1	adj	negative	strongsubj	n
aggression	1	noun	negative	strongsubj	n
aggressive	1	anypos	negative	strongsubj	y
aggressiveness	1	noun	negative	strongsubj	n
aggressor	1	noun	negative	strongsubj	n
aggrieve	1	verb	negative	strongsubj	y
aggrieved	1	adj	negative	strongsubj	n
aghast	1	adj	negative	strongsubj	n
agile	1	adj	positive	weaksubj	n
agilely	1	adverb	positive	weaksubj	n
agility	1	noun	positive	weaksubj	n
agitate	1	verb	negative	strongsubj	y
agitated	1	adj	negative	strongsubj	n
agitation	1	noun	negative	strongsubj	n
agitator	1	noun	negative	strongsubj	n
agonies	1	noun	negative	strongsubj	n
agonize	1	verb	negative	strongsubj	y
agonizing	1	adj	negative	strongsubj	n
agonizing	1	anypos	negative	strongsubj	y
agonizingly	1	anypos	negative	strongsubj	n
agony	1	noun	negative	strongsubj	n
agree	1	verb	positive	strongsubj	y
agreeability	1	anypos	positive	strongsubj	y
