ID	Target	Stance	Dataset
0	Hillary Clinton	AGAINST	semevala
1	Hillary Clinton	AGAINST	semevala
2	Hillary Clinton	AGAINST	semevala
3	Hillary Clinton	AGAINST	semevala
4	Hillary Clinton	AGAINST	semevala
5	Hillary Clinton	AGAINST	semevala
6	Hillary Clinton	AGAINST	semevala
7	Hillary Clinton	AGAINST	semevala
8	Hillary Clinton	AGAINST	semevala
9	Hillary Clinton	AGAINST	semevala
10	Hillary Clinton	AGAINST	semevala
11	Hillary Clinton	AGAINST	semevala
12	Hillary Clinton	AGAINST	semevala
13	Hillary Clinton	AGAINST	semevala
14	Hillary Clinton	AGAINST	semevala
15	Hillary Clinton	AGAINST	semevala
16	Hillary Clinton	AGAINST	semevala
17	Hillary Clinton	AGAINST	semevala
18	Hillary Clinton	AGAINST	semevala
19	Hillary Clinton	AGAINST	semevala
20	Hillary Clinton	AGAINST	semevala
21	Hillary Clinton	AGAINST	semevala
22	Hillary Clinton	AGAINST	semevala
23	Hillary Clinton	AGAINST	semevala
24	Hillary Clinton	AGAINST	semevala
25	Hillary Clinton	AGAINST	semevala
26	Hillary Clinton	AGAINST	semevala
27	Hillary Clinton	AGAINST	semevala
28	Hillary Clinton	AGAINST	semevala
29	Hillary Clinton	AGAINST	semevala
30	Hillary Clinton	AGAINST	semevala
31	Hillary Clinton	AGAINST	semevala
32	Hillary Clinton	AGAINST	semevala
33	Hillary Clinton	AGAINST	semevala
34	Hillary Clinton	AGAINST	semevala
35	Hillary Clinton	AGAINST	semevala
36	Hillary Clinton	AGAINST	semevala
37	Hillary Clinton	AGAINST	semevala
38	Hillary Clinton	NONE	semevala
39	Hillary Clinton	AGAINST	semevala
40	Hillary Clinton	AGAINST	semevala
41	Hillary Clinton	AGAINST	semevala
42	Hillary Clinton	AGAINST	semevala
43	Hillary Clinton	AGAINST	semevala
44	Hillary Clinton	AGAINST	semevala
45	Hillary Clinton	AGAINST	semevala
46	Hillary Clinton	NONE	semevala
47	Hillary Clinton	NONE	semevala
48	Hillary Clinton	AGAINST	semevala
49	Hillary Clinton	NONE	semevala
50	Hillary Clinton	AGAINST	semevala
51	Hillary Clinton	NONE	semevala
52	Hillary Clinton	AGAINST	semevala
53	Hillary Clinton	NONE	semevala
54	Hillary Clinton	NONE	semevala
55	Hillary Clinton	AGAINST	semevala
56	Hillary Clinton	AGAINST	semevala
57	Hillary Clinton	AGAINST	semevala
58	Hillary Clinton	NONE	semevala
59	Hillary Clinton	NONE	semevala
